LOCATIONS	BREAKFAST	LUNCH	DINNER	DETAILS	URL
Hotel Herradura	13	24	26	 Precio por persona, por plato, incluye bebidas 	https://www.wyndhamhotels.com/es-xl/wyndham/san-jose-costa-rica/wyndham-san-jose-herradura-hotel-convention-center/overview?cid=PS:cnuburfc5s2ki95&gclid=Cj0KCQjw6-SDBhCMARIsAGbI7UgXC6_TnPjRrkPK5IaemGRl3xQjw5GRzXEEaariSrfngww4MrIz48IaApu7EALw_wcB
Sheraton Escazu	16	26	29	 Precio por persona, por plato, incluye bebidas 	https://www.espanol.marriott.com/hotels/travel/sjosi-sheraton-san-jose-hotel-costa-rica/
Occidental Papagayo Resort	14	28	28	 Precio por persona, por plato, incluye bebidas 	https://www.barcelo.com/en-ww/occidental-papagayo/?gclid=Cj0KCQjw6-SDBhCMARIsAGbI7Ug5fmeT0XwpZlmlkHEXE39Qzsz-rQxMHep0eGlIxaglFvOCFby6zCQaAhT5EALw_wcB
Swiss Travel 	13	28	28	 Precio por persona, por plato, incluye bebidas 	https://www.swisstravelcr.com/
					
PHOTOGRAPHY	PAX1	PAX2	PAX3		
Gabriel Anta	1200	1500	1750	 Fotograf�as (50, 100, 150), memoria digital y video 	https://www.facebook.com/GabrielAntaFotografo/
Douglas Cede�o	1000	1500	2000	 Fotograf�as (50, 100, 150), memoria digital y video 	https://www.douglascedeno.com/
Raw Shoots	1000	1250	1500	 Fotograf�as (50, 100, 150), memoria digital y video 	https://www.rawshoots.com/portfolio/
Geoff Photography	1500	1750	2000	 Fotograf�as (50, 100, 150), memoria digital y video 	https://geoffphotographycr.com/costa-rica-wedding-photography
					
					
FLOWERS	PAX1	PAX2	PAX3		
Floristeria Costa Rica	750	1000	1500	Boquette, botonier, (10, 15, 20) centros de mesa, decoracion de iglesia	https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjew5rQi4PwAhUIj8gKHbADBPsYABAAGgJxdQ&ae=2&ohost=www.google.com&cid=CAESP-D2Q4u27b9Lxz8K76eMmKpVoIHhfg2Uc4dBUhhT0YQHR3HjUSlmwZyk6otfbYhb65WWSWi-pqa39Q38phwkzA&sig=AOD64_1h0nbULQat-5IY_Dhr78P51TVG5g&q&adurl&ved=2ahUKEwif-pHQi4PwAhWSTjABHZ58CXoQ0Qx6BAgFEAE
Flores Gala	1000	1500	2000	Boquette, botonier, (10, 15, 20) centros de mesa, decoracion de iglesia	https://floresgala.com/categoria-producto/bodas
Juno Flowers	420	630	1110	Boquette, botonier, (10, 15, 20) centros de mesa, decoracion de iglesia	https://juno.cr/collections/bodas-y-microbodas
Nandallo	500	750	1000	Boquette, botonier, (10, 15, 20) centros de mesa, decoracion de iglesia	https://nandallo.com/categoria/arreglos-florales-para-boda/accesorios-con-flores-para-boda/
